"","feature","appearances","targets_covered","coverage_rate","mean_rank","median_rank","mean_theil_u","mean_mi","mean_cramer_v","mean_score","strength_score"
"122","Q26",1,1,0.0303030303030303,5,5,0.215533265722752,0.0991240366088393,0.497263390471285,0.208783509463432,16
"123","Q99",1,1,0.0303030303030303,5,5,0.176865407434311,0.0800412612284935,0.357360707524427,0.165867693581578,16
"124","Q83",1,1,0.0303030303030303,6,6,0.224223048367553,0.286897762234312,0.484089015087676,0.269012059199593,15
"125","Q105",1,1,0.0303030303030303,7,7,0.141930637854625,0.064605015132118,0.316301241687726,0.136170011421183,14
"126","Q88",1,1,0.0303030303030303,7,7,0.185480572290153,0.237089766005074,0.43744320482485,0.226159593658099,14
"127","Q100",1,1,0.0303030303030303,8,8,0.137516446469016,0.0622273691986743,0.299697198893478,0.13114779853036,13
"128","Q263",1,1,0.0303030303030303,8,8,0.292300017300048,0.0952307881721888,0.596136584256201,0.263562905257305,13
"129","Q98",1,1,0.0303030303030303,9,9,0.129462637682455,0.0583303031498827,0.288930302473219,0.12406970380176,12
"130","Q174",1,1,0.0303030303030303,10,10,0.0600077211519061,0.0372489056649767,0.277351186866295,0.0749144230772662,11
"131","Q96",1,1,0.0303030303030303,10,10,0.130116310557256,0.0587648074465612,0.28331406515966,0.124030635084288,11
"132","Q97",1,1,0.0303030303030303,11,11,0.122290905539959,0.0552230634805255,0.2829553582398,0.118236998192113,10
"133","Q25",1,1,0.0303030303030303,12,12,0.117134904040533,0.0539141412262767,0.350519686696061,0.121507153461809,9
"134","Q250",1,1,0.0303030303030303,12,12,0.0390377834149308,0.055035745198567,0.175211312415425,0.0574545248500711,9
"135","Q269",1,1,0.0303030303030303,12,12,0.0474627041766263,0.015472337469058,0.242055543761475,0.0573248781228407,9
"136","Q283",1,1,0.0303030303030303,13,13,0.0488761220625214,0.0154660058158971,0.202974558983515,0.0542629308806334,8
"137","Q71",1,1,0.0303030303030303,13,13,0.0594158718627206,0.0733282547948937,0.225408414275549,0.0801888409836554,8
"138","Q190",1,1,0.0303030303030303,14,14,0.0363058158193879,0.0526613619684655,0.172017359455065,0.0547836340276789,7
"139","Q280",1,1,0.0303030303030303,14,14,0.0412947249108261,0.0128890154005923,0.151305308678234,0.0437740704344968,7
"140","Q199",1,1,0.0303030303030303,15,15,0.0247169260635541,0.0366952104334866,0.157693923814197,0.0416081111495981,6
"141","Q219",1,1,0.0303030303030303,15,15,0.00867445034963968,0.0104724803218588,0.102188730877382,0.0185652873940796,6
"142","Q239",1,1,0.0303030303030303,15,15,0.0312753529512043,0.0194212555069981,0.20077006690517,0.044668595113339,6
"143","Q275",1,1,0.0303030303030303,15,15,0.0313575634461877,0.0392139965704841,0.14283902366921,0.0448626394057789,6
"144","Q81",1,1,0.0303030303030303,15,15,0.109051071743842,0.139466744010561,0.332676630754197,0.140538329324893,6
"145","Q189",1,1,0.0303030303030303,16,16,0.0309811035670206,0.0449424201116022,0.164427445912903,0.0485141327649833,5
"146","Q64",1,1,0.0303030303030303,16,16,0.129767004014074,0.119619720922887,0.335583110300297,0.14730442971534,5
"147","Q147",1,1,0.0303030303030303,17,17,0.034949231808057,0.0113731502753804,0.153388786708593,0.0397203628383076,4
"148","Q166",1,1,0.0303030303030303,17,17,0.105305777765676,0.0977878873156044,0.439186436714305,0.136438476525517,4
"149","Q95",1,1,0.0303030303030303,17,17,0.085842215188739,0.0387354729812976,0.217625656695835,0.0848885366772162,4
"150","Q15",1,1,0.0303030303030303,18,18,0.0835009177018621,0.0771329060483943,0.368337549416819,0.110074177377317,3
